Duration,Obs_period,Obs_prox,Obs_int,Freq_prox,Freq_int,Age,Gender,Behavior group
18.96,18.96,18.96,0,0.052742616,0,Adult,Female,Proximity
6.32,6.32,6.32,0,0.158227848,0,Child,Male,Proximity
12.64,75.28,12.64,62.64,0.013283741,0.119553666,Adult,Female,Proximity
9.44,24.24,24.24,0,0.082508251,0,Adult,Male,Proximity
18.8,49.36,21.36,28,0.040518639,0.121555916,Child,Male,Proximity
11.12,67.76,14.64,53.12,0.029515939,0.029515939,Child,Male,Proximity
3.36,3.36,3.36,0,0.297619048,0,Adult,Female,Proximity
6.24,100.72,50.16,50.56,0.049642573,0.019857029,Adult,Female,Proximity
8,81.92,40.32,41.6,0.036621094,0.024414063,Adult,Male,Proximity
8.56,53.92,17.28,36.64,0.037091988,0.074183976,Child,Male,Proximity
13.76,13.76,13.76,0,0.072674419,0,Adult,Male,Proximity
16.72,16.72,16.72,0,0.059808612,0,Adult,Female,Proximity
1.8,1.8,1.8,0,0.555555556,0,Child,Male,Proximity
6.72,21.68,13.92,7.76,0.138376384,0.092250923,Adult,Male,Proximity
56,56,56,0,0.017857143,0,Adult,Female,Proximity
24.88,24.88,24.88,0,0.040192926,0,Adult,Male,Proximity
4.88,234.96,30.72,204.24,0.017024174,0.051072523,Child,Male,Proximity
5.76,67.2,10.4,56.8,0.029761905,0.119047619,Adult,Male,Proximity
18.72,175.72,38.24,137.48,0.017072616,0.096744821,Child,Male,Proximity
6.8,60.2,29.36,30.84,0.033222591,0.066445183,Child,Male,Proximity
4,10.8,10.8,0,0.185185185,0,Child,Male,Proximity
3.8,3.8,3.8,0,0.263157895,0,Child,Male,Proximity
2.48,2.48,2.48,0,0.403225806,0,Child,Male,Proximity
18.4,18.4,18.4,0,0.054347826,0,Adult,Female,Proximity
3.56,3.56,3.56,0,0.280898876,0,Child,Male,Proximity
16.8,102.36,42.92,59.44,0.039077765,0.039077765,Adult,Female,Proximity
17.84,20.84,20.84,0,0.09596929,0,Child,Female,Proximity
12.64,17.44,12.64,4.8,0.05733945,0.05733945,Child,Male,Proximity
31.44,31.44,31.44,0,0.031806616,0,Child,Male,Proximity
7.28,7.28,7.28,0,0.137362637,0,Adult,Male,Proximity
